Puntarenas;Buenos Aires;Colinas;;1;
Puntarenas;Buenos Aires;Potrero Grande;7;11;3
Puntarenas;Buenos Aires;Volcán;7;7;4
Puntarenas;Corredores;Canoas;19;16;5
Puntarenas;Corredores;Corredor;23;29;14
Puntarenas;Corredores;La Cuesta;2;3;3
Puntarenas;Corredores;Laurel;7;8;11
Puntarenas;Coto Brus;Aguabuena;3;6;
Puntarenas;Coto Brus;Limoncito;;5;
Puntarenas;Coto Brus;Pittier;1;1;
Puntarenas;Coto Brus;Sabalito;10;4;3
Puntarenas;Coto Brus;San Vito;12;11;5
Puntarenas;Esparza;Espiritu Santo;29;31;16
Puntarenas;Esparza;Macacona;3;11;3
Puntarenas;Esparza;San Juan Grande;6;10;9
Puntarenas;Garabito;Jacó;33;43;20
Puntarenas;Garabito;Tarcoles;7;7;2
Puntarenas;Golfito;Golfito;17;32;7
Puntarenas;Golfito;Guaycara;12;19;8
Puntarenas;Golfito;Pavón;8;;1
Puntarenas;Golfito;Puerto Jiménez;13;13;6
Puntarenas;Montes de Oro;Miramar;13;10;2
Puntarenas;Montes de Oro;San Isidro;2;1;
Puntarenas;Montes de Oro;Unión;2;;
Puntarenas;Osa;Bahía Ballena;11;8;
Puntarenas;Osa;Bahía Drake;1;2;5
Puntarenas;Osa;Palmar;13;26;1
Puntarenas;Osa;Piedras Blancas;3;4;2
Puntarenas;Osa;Puerto Cortes;12;13;7
Puntarenas;Osa;Sierpe;3;1;
Puntarenas;Parrita;Parrita;26;18;15
Puntarenas;Puntarenas;Acapulco;1;2;
Puntarenas;Puntarenas;Barranca;67;86;47
Puntarenas;Puntarenas;Chacarita;34;31;18
Puntarenas;Puntarenas;Chira;;2;
Puntarenas;Puntarenas;Chomes;13;12;6
Puntarenas;Puntarenas;Cobano;11;11;4
Puntarenas;Puntarenas;El Roble;38;47;11
Puntarenas;Puntarenas;Guacimal;1;;
Puntarenas;Puntarenas;Lepanto;9;8;3
Puntarenas;Puntarenas;Manzanillo;2;5;5
Puntarenas;Puntarenas;Monte Verde;;3;1
Puntarenas;Puntarenas;Paquera;9;7;4
Puntarenas;Puntarenas;Pitahaya;4;7;1
Puntarenas;Puntarenas;Puntarenas;31;17;4
San José;Acosta;Cangrejal;1;2;1
San José;Acosta;Guaitil;2;3;
San José;Acosta;Palmichal;4;11;2
San José;Acosta;Sabanillas;;;3
San José;Acosta;San Ignacio;8;13;3
San José;Alajuelita;Alajuelita;36;52;17
San José;Alajuelita;Concepción;38;50;25
San José;Alajuelita;San Antonio;5;5;9
San José;Alajuelita;San Felipe;65;83;40
San José;Alajuelita;San Josecito;25;23;9
San José;Aserri;Aserri;51;53;27
San José;Aserri;Legua;;1;
San José;Aserri;Monterrey;1;1;
San José;Aserri;Salitrillos;7;20;9
San José;Aserri;San Gabriel;6;8;2
San José;Aserri;Tarbaca;2;4;
San José;Aserri;Vuelta de Jorco;;5;3
San José;Curridabat;Curridabat;50;49;14
San José;Curridabat;Granadilla;30;25;13
San José;Curridabat;Sanchez;5;6;1
San José;Curridabat;Tirrases;45;59;25
San José;Desamparados;Damas;18;21;5
San José;Desamparados;Desamparados;105;84;41
San José;Desamparados;Frailes;4;4;1
San José;Desamparados;Gravilias;24;15;10
San José;Desamparados;Los Guido;79;77;38
San José;Desamparados;Patarrá;38;32;9
San José;Desamparados;Rosario;2;2;2
San José;Desamparados;San Antonio;23;12;12
San José;Desamparados;San Cristobal;2;3;5
San José;Desamparados;San Juan de Dios;51;61;31
San José;Desamparados;San Miguel;114;104;47
San José;Desamparados;San Rafael Abajo;63;68;30
San José;Desamparados;San Rafael Arriba;28;40;18
San José;Dota;Santa María;6;1;3
San José;Escazú;Escazú;26;22;5
San José;Escazú;San Antonio;31;42;27
San José;Escazú;San Rafael;28;51;22
San José;Goicoechea;Calle Blancos;33;43;23
San José;Goicoechea;Guadalupe;43;55;14
San José;Goicoechea;Ipis;50;52;30
San José;Goicoechea;Mata de Platano;20;30;9
San José;Goicoechea;Purral;99;102;28
San José;Goicoechea;Rancho Redondo;3;5;3
San José;Goicoechea;San Francisco;6;3;2
San José;León Cortés;Llano Bonito;1;;
San José;León Cortés;San Andrés;;1;2
San José;León Cortés;San Antonio;;1;
San José;León Cortés;San Pablo;7;;2
San José;León Cortés;Santa Cruz;2;;1
San José;Montes de Oca;Mercedes;;5;1
San José;Montes de Oca;Sabanilla;11;18;9
San José;Montes de Oca;San Pedro;29;29;16
San José;Montes de Oca;San Rafael;10;11;3
San José;Mora;Colón;9;10;7
San José;Mora;Guayabo;1;4;3
San José;Mora;Jaris;;2;2
San José;Mora;Piedras Negras;;1;
San José;Mora;Tabarcia;11;5;4
San José;Moravia;San Jerónimo;15;16;3
San José;Moravia;San Vicente;33;38;15
San José;Moravia;Trinidad;36;46;15
San José;Pérez Zeledón;Barú;4;5;3
San José;Pérez Zeledón;Cajón;14;12;8
San José;Pérez Zeledón;Daniel Flores;29;55;20
San José;Pérez Zeledón;General;6;7;4
San José;Pérez Zeledón;Páramo;2;5;
San José;Pérez Zeledón;Pejibaye;7;11;4
San José;Pérez Zeledón;Platanares;6;6;
San José;Pérez Zeledón;Río Nuevo;1;2;
San José;Pérez Zeledón;Rivas;8;7;3
San José;Pérez Zeledón;San Isidro del General;90;102;50
San José;Pérez Zeledón;San Pedro;13;9;2
San José;Puriscal;Barbacoas;;10;3
San José;Puriscal;Candelarita;;;1
San José;Puriscal;Chires;3;2;2
San José;Puriscal;Desamparaditos;;;1
San José;Puriscal;Grifo Alto;1;;2
San José;Puriscal;Mercedes Sur;3;6;1
San José;Puriscal;San Antonio;4;1;3
San José;Puriscal;San Rafael;2;;
